rank	word	normalized_word	count	subjects	files	first_seen	preview_path	audio_path	meaning	basic_form	accent	synonyms
231	observation	observation	2	SantaAI	SantaAI/単語集/5月/知らない単語集0515.md,SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0515.md	SantaAI/単語集/5月/知らない単語集0515.md		観察；所見		ŏb-zər-VĀ-shən	watching, monitoring, notice
232	obtain	obtain	2	AmericanHistory,Biology	AmericanHistory/06words.md,Biology/42words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		得る、入手する、獲得する		əb-TĀN	acquire, procure, gain
233	organized	organized	2	AmericanHistory,SantaAI	AmericanHistory/08words.md,SantaAI/単語集/6月/知らない単語集0603.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		組織した；整えた	organize	ÔR-gə-nīz	arranged, structured, established
234	oversimplified	oversimplified	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		単純化しすぎた	oversimplify	ō-vər-SĬM-plə-fīd	generalized, reduced, superficial
235	particles	particles	2	Philosophy,SantaAI	Philosophy/27words.md,SantaAI/単語集/5月/知らない単語集0517.md	Philosophy/27words.md	Philosophy/27words_pronunciation/index.html		粒子；微粒子；素粒子	particle	PÄR-tĭ-kəlz	atoms, units, elements
236	passes	passes	2	EarthScience,Optics	EarthScience/47words.md,Optics/51words.md	EarthScience/47words.md	EarthScience/47words_pronunciation/index.html		通過する	pass	PĂS-ĭz	moves through, goes by, travels across
237	perception	perception	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		知覚、認識		pər-SEP-shən	awareness, understanding, impression
238	periods	periods	2	AmericanHistory,SantaAI	AmericanHistory/08words.md,SantaAI/単語集/6月/知らない単語集0601.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		時期；期間	period	PĬR-ē-əd	eras, phases, intervals
239	perspectives	perspectives	2	SantaAI	SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/5月/知らない単語集0518.md	SantaAI/単語集/5月/知らない単語集0518.md		視点、観点	perspective	pər-SPEK-tĭvz	viewpoints, angles, outlooks
240	pitch	pitch	2	Archaeology,Linguistics	Archaeology/04/04words.md,Linguistics/20words.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		タール、ピッチ（黒い粘着性物質）；音の高さ；投げる		pĭch	tar, resin, asphalt
241	pollination	pollination	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		受粉		päl-ə-NĀ-shən	fertilization, pollen transfer, plant breeding
242	pollution	pollution	2	Environmentology,SantaAI	Environmentology/13words.md,SantaAI/単語集/5月/知らない単語集0523.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		汚染；公害		pə-LŪ-shən	contamination, impurity, fouling
243	practical	practical	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		実用的な；現実的な		PRAK-tĭ-kəl	useful, realistic, applicable
244	Practitioners	practitioners	2	Medicine	Medicine/58words.md	Medicine/58words.md	Medicine/58words_pronunciation/index.html		実務者；専門家（複数）	practitioner	prak-TISH-ə-nərz	professionals, clinicians, experts
245	predict	predict	2	ComputerScience,Physics	ComputerScience/44words.md,Physics/60words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		予測する		prĭ-DĬKT	forecast, anticipate, project
246	predicting	predicting	2	Physics,SantaAI	Physics/60words.md,SantaAI/単語集/6月/知らない単語集0615.md	Physics/60words.md	Physics/60words_pronunciation/index.html		予測すること		pri-DIK-ting	forecasting, anticipating, estimating
247	prepare	prepare	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		準備する		prĭ-PER	arrange, ready, organize
248	preserve	preserve	2	Archaeology,Ethnology	Archaeology/04/04words.md,Ethnology/EthnoogyandIdentity.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		保存する、維持する；保存食、自然保護区		prĭ-ZÛRV	conserve, maintain, protect
249	preserved	preserved	2	Ethnology,SantaAI	Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/5月/知らない単語集0530.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		保存された、守られた	preserve	prĭ-ZÛRVD	maintained, kept, conserved
250	prevailing	prevailing	2	AmericanHistory,SantaAI	AmericanHistory/08words.md,SantaAI/単語集/5月/知らない単語集0523.md	AmericanHistory/08words.md	AmericanHistory/08words_pronunciation/index.html		支配的な；一般的な	prevail	pri-VĀL	dominant, widespread, common
251	prevent	prevent	2	Geology,SantaAI	Geology/53words.md,SantaAI/単語集/5月/知らない単語集0525.md	Geology/53words.md	Geology/53words_pronunciation/index.html		防ぐ；妨げる		prĭ-VĔNT	stop, hinder, block
252	primarily	primarily	2	Law,Linguistics	Law/18words.md,Linguistics/20words.md	Law/18words.md	Law/pronunciation/index.html		主として；第一に		prī-MER-ə-lē	mainly, chiefly, principally
253	procedures	procedures	2	Law,SantaAI	Law/18words.md,SantaAI/単語集/6月/知らない単語集0607.md	Law/18words.md	Law/pronunciation/index.html		手続き；手順	procedure	prə-SĒ-jər	processes, methods, protocols
254	property	property	2	AmericanHistory,Crimiinology	AmericanHistory/09words.md,Crimiinology/19words.md	AmericanHistory/09words.md	AmericanHistory/09words_pronunciation/index.html		財産；所有物		PRÄP-ər-tē	possession, asset, estate
255	proposed	proposed	2	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		提案した；提案された	propose	prə-PŌZD	suggested, offered, put forward
256	protection	protection	2	Archaeology,Medicine	Archaeology/03/03words.md,Medicine/58words.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html		保護、防護		prə-TĔK-shən	preservation, defense, shelter
257	quest	quest	2	ArtHistory,History	ArtHistory/05/05words.md,History/07words.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		探求；追求；冒険の旅		KWEST	search, pursuit, mission
258	radiation	radiation	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		放射；放熱		rā-dē-Ā-shən	emission, radiant transfer, heat radiation
259	ranging	ranging	2	Biology,Ethnology	Biology/43words.md,Ethnology/EthnoogyandIdentity.md	Biology/43words.md	Biology/43words_pronunciation/index.html		及ぶ；範囲にわたる	range	RĀN-jĭng	spanning, varying, extending
260	rapidly	rapidly	2	Biology,SantaAI	Biology/37words.md,SantaAI/単語集/5月/知らない単語集0525.md	Biology/37words.md	Biology/37words_pronunciation/index.html		急速に；素早く		RĂP-ĭd-lē	quickly, swiftly, speedily
261	re-emit	re-emit	2	SantaAI	SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md		再放出する		rē-ĭ-MĬT	radiate again, send out again, emit anew
262	reaching	reaching	2	Geology,SantaAI	Geology/53words.md,SantaAI/単語集/5月/知らない単語集0523.md	Geology/53words.md	Geology/53words_pronunciation/index.html		到達すること	reach	RĒ-chĭng	arriving at, attaining, getting to
263	reasoning	reasoning	2	SantaAI	SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0518.md	SantaAI/単語集/5月/知らない単語集0518.md		推論、論理的思考	reason（動詞）/ reasoning（名詞）	RĒ-zə-nĭng	logic, inference, rational thought
264	Recall	recall	2	Geology,Psychology	Geology/54words.md,Psychology/29words.md	Geology/54words.md	Geology/54words_pronunciation/index.html		思い出す		ri-KÔL	remember, bring to mind, recollect
265	regarding	regarding	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/5月/知らない単語集0528.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		〜に関して		rĭ-GÄR-dĭng	concerning, about, with respect to
266	regardless	regardless	2	Linguistics,Physics	Linguistics/21words.md,Physics/59words.md	Linguistics/21words.md	Linguistics/21words_pronunciation/index.html		〜にかかわらず；それでも		rĭ-GÄRD-lĭs	despite, irrespective, notwithstanding
267	registration	registration	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		登録、申込		rĕj-ĭ-STRĀ-shən	enrollment, sign-up, entry
268	relatives	relatives	2	SantaAI	SantaAI/単語集/5月/知らない単語集0517.md,SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/5月/知らない単語集0517.md	SantaAI/単語集/5月/知らない単語集0517.md		親戚	relative	REL-ə-tĭvz	family members, kin, relations
269	reliable	reliable	2	MediaStudies,SantaAI	MediaStudies/52words.md,SantaAI/単語集/5月/知らない単語集0522.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		信頼できる		rĭ-LĪ-ə-bəl	dependable, trustworthy, credible
270	renewable	renewable	2	SantaAI	SantaAI/単語集/5月/知らない単語集0526.md,SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0526.md		再生可能な；更新できる		rĭ-NOO-ə-bəl	sustainable, replenishable, reusable
271	replenish	replenish	2	Environmentology,SantaAI	Environmentology/13words.md,SantaAI/単語集/6月/知らない単語集0616.md	Environmentology/13words.md	Environmentology/13words_pronunciation/index.html		補充する；回復させる		rĭ-PLEN-ĭsh	refill, restore, renew
272	represented	represented	2	Law,SantaAI	Law/18words.md,SantaAI/単語集/5月/知らない単語集0524.md	Law/18words.md	Law/pronunciation/index.html		代表した；示した	represent	rĕp-rĭ-ZĔNT	stood for, symbolized, reflected
273	reproduction	reproduction	2	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		生殖、繁殖		rē-prə-DŪK-shən	breeding, propagation, procreation
274	requirements	requirements	2	Crimiinology,SantaAI	Crimiinology/19words.md,SantaAI/単語集/5月/知らない単語集0525.md	Crimiinology/19words.md	Crimiinology/19words_pronunciation/index.html		要件；必要条件；義務	requirement	rĭ-KWĪR-mənts	conditions, obligations, stipulations
275	reserve	reserve	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0614.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		予約する；確保する		rĭ-ZÛRV	book, arrange, set aside
276	responsibility	responsibility	2	ComputerScience,Environmentology	ComputerScience/44words.md,Environmentology/13words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		責任		rĭ-spŏn-sə-BĬL-ə-tē	accountability, duty, obligation
277	retain	retain	2	Ethnology,SantaAI	Ethnology/EthnoogyandIdentity.md,SantaAI/単語集/5月/知らない単語集0525.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		保持する、維持する		rĭ-TĀN	keep, maintain, preserve
278	scarce	scarce	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		不足している；乏しい		skârs	limited, rare, insufficient
279	seed	seed	2	SantaAI	SantaAI/単語集/6月/知らない単語集0603.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md		種；種をまく		SĒD	grain, kernel, sow
280	Seed dispersal	seed dispersal	2	SantaAI	SantaAI/単語集/5月/知らない単語集0516.md,SantaAI/単語集/5月/知らない単語集0526.md	SantaAI/単語集/5月/知らない単語集0516.md	SantaAI/単語集/5月/知らない単語集0516.md		種子散布；種が広がること		SĒD dĭ-SPÛR-səl	seed spreading, distribution, propagation
281	seek out	seek out	2	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		探し出す；積極的に見つける		SĒK OUT	search for, pursue, look for
282	serious	serious	2	AmericanHistory,Medicine	AmericanHistory/10words.md,Medicine/58words.md	AmericanHistory/10words.md	AmericanHistory/10words_pronunciation/index.html		深刻な；重大な		SĬR-ē-əs	severe, grave, critical
283	serve	serve	2	BusinessAsministration&Economics,MediaStudies	BusinessAsministration&Economics/11words.md,MediaStudies/52words.md	BusinessAsministration&Economics/11words.md	BusinessAsministration&Economics/11words_pronunciation/index.html		役立つ；仕える		SƏRV	assist, help, support
284	shape	shape	2	Ethnology,Physics	Ethnology/EthnoogyandIdentity.md,Physics/60words.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		形成する；形、形状		shāp	form, mold, influence
285	shaped by	shaped by	2	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		〜によって形作られる	shape by	shāpt bī	formed by, influenced by, molded by
286	side effect	side effect	2	SantaAI	SantaAI/単語集/5月/知らない単語集0520.md,SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0520.md	SantaAI/単語集/5月/知らない単語集0520.md		副作用		sīd ĭ-FEKT	adverse reaction, secondary effect, complication
287	significance	significance	2	ArtHistory,SantaAI	ArtHistory/05/05words.md,SantaAI/単語集/6月/知らない単語集0602.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		重要性；意義；意味		sĭg-NIF-ĭ-kəns	importance, meaning, consequence
288	sneeze	sneeze	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		くしゃみをする		snēz	sniffle, cough lightly, emit a sneeze
289	soil	soil	2	Archaeology,SantaAI	Archaeology/03/03words.md,SantaAI/単語集/6月/知らない単語集0602.md	Archaeology/03/03words.md	Archaeology/03/03words_pronunciation/index.html		土壌、土		soil	earth, ground, dirt
290	soil erosion	soil erosion	2	SantaAI	SantaAI/単語集/5月/知らない単語集0523.md,SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/5月/知らない単語集0523.md	SantaAI/単語集/5月/知らない単語集0523.md		土壌侵食		soil ĭ-RŌ-zhən	land degradation, soil loss, topsoil removal
291	specifically	specifically	2	Biology,Journalism	Biology/38words.md,Journalism/Newspapres.md	Biology/38words.md	Biology/38words_pronunciation/index.html		具体的に；明確に言えば		spə-SĬF-ĭk-lē	particularly, expressly, precisely
292	stability	stability	2	ArtHistory,SantaAI	ArtHistory/05/05words.md,SantaAI/単語集/6月/知らない単語集0605.md	ArtHistory/05/05words.md	ArtHistory/05/05words_pronunciation/index.html		安定性；安定した状態		stə-BIL-ĭ-tē	steadiness, durability, firmness
293	strain	strain	2	Ecology	Ecology/49words.md	Ecology/49words.md	Ecology/49words_pronunciation/index.html		品種；系統		strān	variety, type, lineage
294	substances	substances	2	Archaeology,SantaAI	Archaeology/04/04words.md,SantaAI/単語集/5月/知らない単語集0527.md	Archaeology/04/04words.md	Archaeology/04/04words_pronunciation/index.html		物質、材料、成分	substance	SŬB-stəns	materials, compounds, matter
295	supplies	supplies	2	SantaAI	SantaAI/単語集/5月/知らない単語集0513.md,SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0513.md	SantaAI/単語集/5月/知らない単語集0513.md		物資；補給品	supply	sə-PLĪZ	materials, provisions, stock
296	suspended	suspended	2	Crimiinology,SantaAI	Crimiinology/19words.md,SantaAI/単語集/6月/知らない単語集0602.md	Crimiinology/19words.md	Crimiinology/19words_pronunciation/index.html		停止された；猶予された；一時停止した	suspend	sə-SPĔND-ĭd	deferred, postponed, withheld
297	take turns	take turns	2	SantaAI	SantaAI/単語集/6月/知らない単語集0607.md,SantaAI/単語集/6月/知らない単語集0617.md	SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/6月/知らない単語集0607.md		交代で行う；順番にする		tāk tərnz	alternate, rotate, switch
298	Though	though	2	Medicine,SantaAI	Medicine/57words.md,SantaAI/単語集/5月/知らない単語集0528.md	Medicine/57words.md	Medicine/57words_pronunciation/index.html		～だけれども		THŌ	although, even though, while
299	thoughtfully	thoughtfully	2	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md,SantaAI/単語集/5月/知らない単語集0530.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		思慮深く；丁寧に		THÔT-fəl-lē	carefully, considerately, reflectively
300	time-consuming	time-consuming	2	Law,SantaAI	Law/18words.md,SantaAI/単語集/5月/知らない単語集0525.md	Law/18words.md	Law/pronunciation/index.html		時間のかかる		TĪM kən-sū-mĭng	lengthy, laborious, tedious
301	tissue	tissue	2	SantaAI	SantaAI/単語集/6月/知らない単語集0603.md,SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md		組織；薄い紙		TĬSH-ū	cell layer, material, membrane
302	tropics	tropics	2	SantaAI	SantaAI/単語集/5月/知らない単語集0522.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/5月/知らない単語集0522.md	SantaAI/単語集/5月/知らない単語集0522.md		熱帯地域		TRÄP-ĭks	tropical zone, equatorial region, low latitudes
303	Ultimately	ultimately	2	History,Linguistics	History/07words.md,Linguistics/21words.md	History/07words.md	History/07words_pronunciation/index.html		最終的に、結局		ŬL-tə-mĭt-lē	eventually, finally, in the end
304	unconsciously	unconsciously	2	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md,SantaAI/単語集/6月/知らない単語集0615.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		無意識に	unconscious	un-KON-shəs-lē	unknowingly, involuntarily, automatically
305	undergo	undergo	2	EarthScience,SantaAI	EarthScience/45words.md,SantaAI/単語集/6月/知らない単語集0611.md	EarthScience/45words.md	EarthScience/45words_pronunciation/index.html		経験する；受ける		ŭn-dər-GŌ	experience, go through, be subjected to
306	underlying	underlying	2	SantaAI	SantaAI/単語集/6月/知らない単語集0601.md,SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/6月/知らない単語集0601.md		根底にある；基礎となる	underlie	un-dər-LĪ-ing	fundamental, basic, root
307	unity	unity	2	History,SantaAI	History/07words.md,SantaAI/単語集/6月/知らない単語集0603.md	History/07words.md	History/07words_pronunciation/index.html		統一、団結		YŪ-nə-tē	solidarity, harmony, oneness
308	Unlike	unlike	2	MediaStudies,SantaAI	MediaStudies/52words.md,SantaAI/単語集/5月/知らない単語集0523.md	MediaStudies/52words.md	MediaStudies/52words_pronunciation/index.html		〜とは異なり		ŭn-LĪK	in contrast to, different from, as opposed to
309	unsure	unsure	2	SantaAI	SantaAI/単語集/5月/知らない単語集0529.md,SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/5月/知らない単語集0529.md	SantaAI/単語集/5月/知らない単語集0529.md		確信がない；不安な		ən-SHŪR	uncertain, doubtful, hesitant
310	via	via	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0621.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		〜を通じて；〜経由で		VĪ-ə	through, by way of, by means of
311	wealth	wealth	2	AmericanHistory,BusinessAsministration&Economics	AmericanHistory/06words.md,BusinessAsministration&Economics/11words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		富、財産；豊富さ		wĕlth	prosperity, riches, abundance
312	wheat	wheat	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0608.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		小麦		hwēt	grain, cereal, wheat crop
313	while(一方で)	while(一方で	2	SantaAI	SantaAI/単語集/5月/知らない単語集0525.md,SantaAI/単語集/6月/知らない単語集0601.md	SantaAI/単語集/5月/知らない単語集0525.md	SantaAI/単語集/5月/知らない単語集0525.md		一方で；〜する間		hwīl	whereas, meanwhile, although
314	withstand	withstand	2	SantaAI	SantaAI/単語集/6月/知らない単語集0602.md,SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md		耐える；持ちこたえる		with-STAND	endure, tolerate, resist
315	worth	worth	2	SantaAI	SantaAI/単語集/5月/知らない単語集0524.md,SantaAI/単語集/6月/知らない単語集0607.md	SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0524.md		価値；価値があること		wərth	value, merit, usefulness
316	wrapped it up	wrapped it up	2	SantaAI	SantaAI/単語集/5月/知らない単語集0518.md,SantaAI/単語集/5月/知らない単語集0524.md	SantaAI/単語集/5月/知らない単語集0518.md	SantaAI/単語集/5月/知らない単語集0518.md		それを終えた、まとめた	wrap up	răpt ĭt ŬP	finished, concluded, completed
317	a branch of AI	a branch of ai	1	ComputerScience	ComputerScience/44words.md	ComputerScience/44words.md	ComputerScience/44words_pronunciation/index.html		AIの一分野		ə brănch əv ā-ī	AI subfield, domain of AI, AI discipline
318	a cascade of	a cascade of	1	SantaAI	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md	SantaAI/単語集/6月/知らない単語集0609.md		一連の；連鎖的な		ə kas-KĀD əv	a series of, a chain of, a sequence of
319	a court circular	a court circular	1	Journalism	Journalism/Newspapres.md	Journalism/Newspapres.md	Journalism/Newspapres.md		宮廷回覧、宮廷の公式発表（王室の行事などを知らせる文書）			
320	a gradual process of change	a gradual process of change	1	Biology	Biology/37words.md	Biology/37words.md	Biology/37words_pronunciation/index.html		緩やかな変化の過程		ə GRĂJ-ōō-əl prŏ-sĕs əv chānj	slow transformation, progressive change, evolutionary process
321	a major step	a major step	1	SantaAI	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md	SantaAI/単語集/6月/知らない単語集0603.md		大きな一歩；重要な進展		ə MĀ-jər STEP	significant move, big advance, milestone
322	a militaristic	a militaristic	1	History	History/07words.md	History/07words.md	History/07words_pronunciation/index.html		軍国主義的な、軍事重視の		mìl-ə-tə-RĬS-tĭk	warlike, martial, aggressive
323	a mischievous cat in a tall striped hat	a mischievous cat in a tall striped hat	1	Literature	Literature/25words.md	Literature/25words.md	Literature/25words_pronunciation/index.html		縞模様の高い帽子をかぶったいたずらな猫		MĬS-chĭ-vəs	a troublemaking feline, a playful cat character
324	a natural pesticide	a natural pesticide	1	Ecology	Ecology/49words.md	Ecology/49words.md	Ecology/49words_pronunciation/index.html		天然の殺虫剤		ə NĂCH-ər-əl PĔS-tə-sīd	biological pesticide, natural insecticide, eco pesticide
325	A profusion of geologic activities	a profusion of geologic activities	1	Geology	Geology/54words.md	Geology/54words.md	Geology/54words_pronunciation/index.html		地質活動の豊富な発生		ə prə-FYŪ-zhən əv jē-ə-LÄJ-ik ak-TIV-ə-tēz	abundant geologic activity, numerous tectonic events, intense geological processes
326	a proven	a proven	1	Medicine	Medicine/56words.md	Medicine/56words.md	Medicine/56words_pronunciation/index.html		実証済みの		ə PRŪ-vən	verified, established, confirmed
327	a reaction against the perceived strictures	a reaction against the perceived strictures	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		知覚された制約・規制への反動			backlash, opposition, resistance
328	a safety valve to consistent piety	a safety valve to consistent piety	1	Theater	Theater/26words.md	Theater/26words.md	Theater/26words_pronunciation/index.html		変わらぬ敬虔さへの安全弁；信仰の圧力を和らげるもの		PĪ-ĭ-tē	a release for religious tension, an outlet for devout pressure
329	a script	a script	1	Psychology	Psychology/29words.md	Psychology/29words.md	Psychology/29words_pronunciation/index.html		台本；原稿；スクリプト		skrĭpt	text, schema, narrative framework
330	a sense of belonging	a sense of belonging	1	Ethnology	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md	Ethnology/EthnoogyandIdentity.md		帰属感、居場所の感覚		ə sĕns əv bĭ-LŎNG-ĭng	sense of membership, feeling of community, affiliation
331	a separate entity	a separate entity	1	Biology	Biology/38words.md	Biology/38words.md	Biology/38words_pronunciation/index.html		独立した存在		ə SĔP-rət ĔN-tə-tē	distinct being, individual unit, independent existence
332	a series of still images	a series of still images	1	Film	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md	Film/ToolsofFilmmaking.md		一連の静止画（連続した静止写真のまとまり）		ə SĒR-ēz əv stĭl ĬM-ĭj-ĭz	a sequence of still photos, a set of static frames, consecutive still pictures
333	a serious philosophical stance	a serious philosophical stance	1	Art	Art/23words.md	Art/23words.md	Art/23words_pronunciation/index.html		真剣な哲学的立場			a rigorous philosophical position, a serious intellectual viewpoint
334	a set of symbols	a set of symbols	1	SantaAI	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md	SantaAI/単語集/6月/知らない単語集0602.md		記号の集合；記号体系		ə SET əv SIM-bəlz	symbol system, notation set, code set
335	a specific piece	a specific piece	1	Psychology	Psychology/29words.md	Psychology/29words.md	Psychology/29words_pronunciation/index.html		特定の情報；具体的な断片			a particular item, a specific detail, a single piece
336	a very limited range of vocal utterances	a very limited range of vocal utterances	1	Linguistics	Linguistics/20words.md	Linguistics/20words.md	Linguistics/20words_pronunciation/index.html		非常に限られた範囲の発声；わずかな音声表現			restricted vocalizations, narrow range of sounds, limited vocal repertoire
337	abandon otherwise productive	abandon otherwise productive	1	SantaAI	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md	SantaAI/単語集/5月/知らない単語集0512.md		本来は生産的な〜を放棄する		ə-BÄN-dən ŬTH-ər-wīz prə-DŬK-tĭv	leave useful, give up productive, forsake fertile
338	abandoned	abandoned	1	AmericanHistory	AmericanHistory/06words.md	AmericanHistory/06words.md	AmericanHistory/06words_pronunciation/index.html		捨てた、放棄した；やめた	abandon	ə-BĂN-dənd	deserted, forsaken, gave up
339	abnormally	abnormally	1	SantaAI	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md	SantaAI/単語集/5月/知らない単語集0527.md		異常に；正常でなく		ăb-NÔR-mə-lē	unusually, irregularly, atypically
